timestamp,delta_c,delta_th,delta_l,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
0.0,-0.2860616795394031,-0.10129930855720082,-0.0014182844203226167,1.5984453274891162,0.028535807197352877,1.7919328781050046,1.1626798261968345,forward_head
0.02,-0.33968489983946026,-0.06702693254635654,-0.015125407474576566,1.6981967042079704,0.03252271683376675,1.724282201480473,1.1896217605839352,forward_head
0.04,-0.3069431452066017,-0.11698135619790517,-0.028976015498030947,1.6055933325968985,0.032876125110922104,1.7563906714962412,1.2480759963038233,forward_head
0.06,-0.34471727711769623,-0.105169088651313,-0.03872638414669263,1.569748824784534,0.025808881157997832,1.7990534427848262,1.125820017197979,forward_head
0.08,-0.32272815307130154,-0.0949573436243314,-0.009719302956723368,1.400619202139325,0.030565643824950507,1.8103810095097383,1.1207347204998956,forward_head
0.1,-0.35533027976255294,-0.15625730694741335,-0.007614288687243417,1.6553932995892706,0.046917427180703894,1.8736274292745756,1.176781104858188,forward_head
0.12,-0.3145827064857451,-0.09308247510840004,-0.028776973742219724,1.5140168189889232,0.03607099129275737,1.8033817766447124,1.019149947563077,forward_head
0.14,-0.3228164893109324,-0.12343779728424939,-0.02470651554275699,1.5472725968652534,0.026643799549341783,1.7737958025497471,1.1780039815298025,forward_head
0.16,-0.3100415698695967,-0.11885060973892017,-0.010840332657699037,1.7443921199675918,0.028506116368511282,1.901974719315925,1.2478462181085557,forward_head
0.18,-0.3269265951302424,-0.1517440335190364,-0.024151734875582486,1.546300693155556,0.022785771053856225,1.8712668908933558,1.2294416398391939,forward_head
0.2,-0.287160257728423,-0.11686812758514989,-0.026730168737125023,1.6821867922890827,0.03622329331597684,1.9920020939915086,1.0771919499898353,forward_head
0.22,-0.3135994272749771,-0.12036973978550355,-0.01138772936650995,1.5936542296983145,0.052555189497565255,1.8924052212987261,1.31578408592842,forward_head
0.24,-0.30604306401722375,-0.10445610788121622,-0.035092095325968804,1.655322487873112,0.023527878049549988,1.825719465323978,1.1276196244276806,forward_head
0.26,-0.3059835687711862,-0.13381851202665995,-0.035649393781819604,1.551665371047069,0.02947576497026875,1.8162340660262326,1.1316142899236523,forward_head
0.28,-0.342232834650257,-0.16843474944129994,-0.015396461171057443,1.651386008880992,0.028194590579916922,1.867963331573179,1.1435134297840939,forward_head
0.3,-0.3193537434805376,-0.09935534780427926,-0.01637140648932552,1.6082234345199027,0.020972726353278327,1.82947935406446,1.0329217788106488,forward_head
0.32,-0.31365201147928834,-0.15201529532754574,-0.033512960203823876,1.6759082346048744,0.025649446477318424,1.875255224266793,1.047124101512071,forward_head
0.34,-0.32344942319658987,-0.12492158479006406,-0.0412074962361879,1.649782172294301,0.03586870653025977,1.8731228605939187,1.1487021025215836,forward_head
0.36,-0.30007461465421587,-0.14906053785834333,-0.0170112938784996,1.4467133818354172,0.05395148454695343,1.8174393186202549,1.2609108693337931,forward_head
0.38,-0.3008144930984941,-0.12129765478430007,-0.010861901422608358,1.6663082759237189,0.04019986951332023,1.7965204195158937,1.1920115672956304,forward_head
0.4,-0.3418330148653548,-0.13007739280938263,-0.044191735983070274,1.5937762452994337,0.04073205810902455,1.804224741995614,1.1459611744448615,forward_head
0.42,-0.29045097500892514,-0.1011688291669688,-0.016825229600879184,1.6528994373937693,0.02474719699785533,1.8146339091265478,1.1121788671527757,forward_head
0.44,-0.3041161028173328,-0.12308545543260427,-0.024045158740022207,1.590319164313845,0.03326772310610156,1.8238894554439387,1.075444977288389,forward_head
0.46,-0.34251568897693685,-0.10680584282787274,-0.021391883875696256,1.6761318267788539,0.02553092019856095,1.8581607855629758,1.1678346209515587,forward_head
0.48,-0.2974732685709302,-0.1325758399730682,-0.0244824689274053,1.5797344096770771,0.03471790530272829,1.7941065190847083,1.1869801273136138,forward_head
0.5,-0.30116873012189743,-0.10729289720067141,-0.016792718723704046,1.6040908762836128,0.027912264887547573,1.881335226152798,1.1190101972253488,forward_head
0.52,-0.3399298253888528,-0.14594238656652303,-0.018237040464345742,1.5881282875707659,0.03301562080530393,1.908100344956274,1.1638012178435246,forward_head
