timestamp,delta_c,delta_th,delta_l,delta_tlj,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
0.0,-0.3205745234203295,-0.14563332847331556,-0.02483845435709752,-0.016224859747815117,1.6843604723892212,0.03977848645647058,1.7798666094920006,1.1300085354456983,forward_head
0.02,-0.3105354353854466,-0.15452002706391973,-0.034305532087574926,-0.01566085408840908,1.6255801339022826,0.052120188877759606,1.819494491010506,1.123096143356938,forward_head
0.04,-0.29368096866839766,-0.13070809524668167,-0.04134661150911657,-0.004485757346574866,1.5552748891403183,0.029411679663896212,1.9007004425501293,1.1578886867288007,forward_head
0.06,-0.29320201788390077,-0.10808651453316352,-0.013711217427754767,-0.000913547176932587,1.5568758865908057,0.02962960638178253,1.9047376353442997,1.219989979990513,forward_head
0.08,-0.3170112494898708,-0.1048053453251584,-0.009898717226364881,0.019635734661361023,1.5601273908460056,0.023814660224896207,1.9055142195898855,1.0997145510298436,forward_head
0.1,-0.2864573579462291,-0.09525367969152412,-0.022995133620833573,-0.022650293265489837,1.5085192199330493,0.032784761959686264,1.8401869396319088,1.0355592310054063,forward_head
0.12,-0.30720170403523606,-0.09795459179346909,-0.013029727176189344,-0.012075035322665248,1.5996237754526241,0.026267478479085293,1.9120714690587663,1.1241681912559618,forward_head
0.14,-0.31531318907597533,-0.12459756308842326,-0.032604612248983554,0.014078099951117234,1.550895064592171,0.03162034729112472,1.7404951007060334,1.1392478969886228,forward_head
0.16,-0.3038369531930693,-0.10661550963464865,-0.015127450507059265,-0.0038013013142614745,1.652051002144034,0.03989117346787057,1.7844615575984164,1.1790679879611519,forward_head
0.18,-0.31604834957712985,-0.1285776872749763,-0.01721988419129186,0.005012970657110765,1.517669201069435,0.04225666088783279,1.856795505465954,1.1611967002399988,forward_head
0.2,-0.321296251693157,-0.11532961712525712,-0.023216345843474814,-0.03252035189811915,1.6728332160744726,0.015522133413166501,1.8589196510722252,1.1788097640698973,forward_head
0.22,-0.29531162513180975,-0.13615738244654071,-0.012388315316493587,0.013792733949153651,1.6469581674209086,0.03977299399258109,1.8258015474253901,1.1139015591115544,forward_head
0.24,-0.349198482460844,-0.08499661913491764,-0.025689613423104992,-0.009210966266021553,1.5736997245793423,0.035028220071166176,2.0192880754524345,1.153513719828517,forward_head
0.26,-0.3298418432838446,-0.10502595603932394,0.00033525440043100075,-0.005217838340462425,1.5796125071985188,0.009777912198313936,1.8298418885867278,1.1987938744291653,forward_head
0.28,-0.3471166498955791,-0.13710864676996617,-0.0017520193234598913,-0.021876742522363823,1.6384430817130755,0.0352814239138916,1.8629607531640648,1.064136435892695,forward_head
0.3,-0.3190530495382823,-0.11303802309336207,-0.03916876674244992,-0.016702851715628266,1.5005145568629699,0.03806581437982973,1.9484965947982285,1.1206757872318904,forward_head
0.32,-0.32292758040498937,-0.12653647277056956,-0.03665869100419138,0.009838193093117462,1.5115210672514137,0.01475221549905676,1.800366432981895,1.0402840791987358,forward_head
0.34,-0.3631783148093451,-0.12201783621178133,-0.011283660016913177,-0.005118509052932826,1.6297074806566056,0.02306964326579753,1.9153442191460965,1.1001919226250911,forward_head
0.36,-0.3610186820466329,-0.137643424886715,-0.01947190025716163,0.012400709144656461,1.6134023340038635,0.035106589492123585,1.78875887376367,1.1872710516297647,forward_head
0.38,-0.34019150494056816,-0.15780432440432854,-0.006014640184907282,-0.009632115219001208,1.675328250682492,0.023519821334318496,1.9237781744792164,1.1892168369081355,forward_head
0.4,-0.34605855077652026,-0.10078265718891068,-0.012997917273969704,0.01993052602604538,1.5380184927932528,0.018485654547521036,1.7748668382576311,1.1906446064704792,forward_head
0.42,-0.27831723493895466,-0.17227098296171228,-0.02274213943374612,-0.03243043258938356,1.6028518265383722,0.02808830305056866,1.7344095465093843,1.142128390709726,forward_head
