timestamp,delta_c,delta_th,delta_l,delta_tlj,fwd_head_ratio,shoulder_tilt,torso_lean,ear_sh_ratio,label
0.0,-0.009110118951788206,-0.15774040839303136,-0.30378803627356826,-0.2481856438649009,1.268721201115017,0.028730646077331518,2.1468134963252035,0.9278064680270459,slouch
0.02,0.03619714300283828,-0.16972350127281294,-0.31726939182210345,-0.24408851002409362,1.2535168797908638,0.053382333896664545,2.121197499339194,1.0103174320395032,slouch
0.04,-0.006569125889737031,-0.1669774731344366,-0.3115909524316338,-0.22906070043906818,1.278874656767707,0.04345447034802296,2.146307536486838,0.9474888554345786,slouch
0.06,0.031165819336780178,-0.20244372723442391,-0.2764608585669603,-0.24998909673869826,1.3316876443594312,0.020970683091370727,2.042621836700892,0.9432077999828209,slouch
0.08,0.05375076149959548,-0.17263531482907596,-0.31445502282956883,-0.26335738272218145,1.3621025230083796,0.07113833221918531,2.0769659829121276,0.9402509459639059,slouch
0.1,-0.011235656928458453,-0.1477885312410526,-0.2709212360515708,-0.2524313008162419,1.2692864753905402,0.0550284747749407,2.08437572237065,0.9218052385239357,slouch
0.12,0.01567996464170495,-0.1610913451550161,-0.2783120125938606,-0.19652231561578218,1.3451905473540067,0.049820980247078823,2.173829879977727,0.8440699322618852,slouch
0.14,0.06027095657990685,-0.17912032363726138,-0.29877358750041266,-0.2739663008149876,1.305970853608469,0.0457154803835554,2.0261314758977185,0.9800350816477028,slouch
0.16,0.03461140778695608,-0.16467494408055508,-0.30159321581507464,-0.25147312603720223,1.176489325506361,0.05535790895306426,2.0151206084232234,0.8771037630025199,slouch
0.18,0.05752718020107895,-0.1628869070436845,-0.3120821743095274,-0.2504149205969302,1.3310108835843406,0.06820286760517136,1.9556383569566498,0.9366116697002687,slouch
0.2,0.02123270487853357,-0.16146747295135483,-0.32115420327212546,-0.2716987851555692,1.2024588180584672,0.027797531092056946,2.131332946957962,0.8926890895367053,slouch
0.22,0.02742751106718701,-0.16741955631519378,-0.31591829719177866,-0.27222281411651333,1.300898047527775,0.0325241447999976,2.0204456557461663,0.9212094382651632,slouch
0.24,0.027157876944227777,-0.14529253226403208,-0.3134821745409356,-0.23000002565351763,1.4474388929020672,0.035060288285527194,2.230355148567873,0.999572480146764,slouch
0.26,0.0221676733648856,-0.15287788803168592,-0.2734914836119054,-0.22329629235232967,1.254694815054575,0.056440710569476554,2.0802864869057762,0.948414477863665,slouch
0.28,0.0665220117849059,-0.18480763878669096,-0.3253634622697982,-0.2788252057853763,1.3020153162105401,0.04533681859117508,2.1876948524794657,0.9664971634345138,slouch
0.3,0.035461394196284926,-0.13820370847234667,-0.32660728965237895,-0.24617202919709505,1.2370417648663734,0.04423934650572566,2.14230620311208,0.8935594236906186,slouch
